Binghamton University;15,748;NY;79;0.66;40%;0.78;90,500;0.86;2.29;B+;4.00;2.40;$386,000;0.87;$986,000;0.86;$6,712;0.17;1.90;$18,251;0.16;2.48;$7,027;0.96;6%;0.67;1.63;Survive
Biola University;4,656;CA;185;0.24;73%;0.30;40,500;0.61;1.15;A-;4.33;2.60;$194,000;0.06;$627,000;0.12;$7,526;0.32;0.50;$40,488;0.55;0.10;$33,195;0.66;4%;0.54;1.20;Perish
Birmingham Southern College;1,261;AL;140;0.38;57%;0.64;8,100;0.15;1.18;B+;4.00;2.40;$246,000;0.26;$700,000;0.30;$6,854;0.19;0.75;$17,650;0.14;0.55;$44,965;0.58;1%;0.14;0.71;Thrive
Boston College;13,165;MA;37;0.84;28%;0.86;165,000;0.95;2.65;A+;5.00;3.00;$403,000;0.90;$1,109,000;0.92;$13,813;0.83;2.66;$55,464;0.96;0.82;$191,087;0.19;8%;0.72;0.91;Thrive
Boston University;28,287;MA;40;0.82;22%;0.89;201,000;0.98;2.69;A+;5.00;3.00;$327,000;0.74;$963,000;0.85;$17,624;0.90;2.49;$53,948;0.88;0.84;$77,042;0.41;24%;0.99;1.40;Survive
Bowdoin College;1,825;ME;6;0.98;10%;0.96;49,500;0.68;2.62;A+;5.00;3.00;$381,000;0.86;$1,018,000;0.88;$17,111;0.89;2.63;$53,922;0.88;0.87;$892,145;0.03;9%;0.76;0.79;Thrive
Bowling Green State University-Main Campus;14,323;OH;246;0.10;72%;0.34;50;0.01;0.44;A;4.66;2.80;$225,000;0.15;$619,000;0.11;$6,336;0.12;0.38;$15,099;0.08;0.22;$11,331;0.90;2%;0.31;1.21;Perish
Brandeis University;5,267;MA;40;0.82;31%;0.84;49,500;0.68;2.34;B-;3.33;2.00;$294,000;0.59;$858,000;0.70;$15,216;0.87;2.16;$55,395;0.95;0.39;$198,668;0.18;19%;0.97;1.15;Perish
Brigham Young University-Provo;30,162;UT;77;0.66;64%;0.50;480;0.05;1.21;A+;5.00;3.00;$392,000;0.89;$973,000;0.85;$8,891;0.49;2.23;$5,620;0.01;29.97;$65,460;0.47;2%;0.31;0.79;Thrive
Brown University;9,648;RI;14;0.94;8%;0.98;165,000;0.95;2.87;A+;5.00;3.00;$378,000;0.86;$1,035,000;0.89;$17,492;0.90;2.64;$55,466;0.96;0.88;$373,533;0.10;15%;0.92;1.02;Survive
Bryn Mawr College;1,632;PA;27;0.89;34%;0.82;27,100;0.48;2.19;A;4.66;2.80;$306,000;0.64;$838,000;0.66;$12,930;0.79;2.10;$52,360;0.81;0.58;$549,777;0.06;22%;0.99;1.05;Survive
Bucknell University;3,621;PA;35;0.85;33%;0.83;49,500;0.68;2.36;A-;4.33;2.60;$369,000;0.84;$1,059,000;0.90;$12,873;0.78;2.52;$56,092;0.98;0.58;$235,103;0.16;7%;0.69;0.85;Thrive
California Institute of Technology;2,233;CA;12;0.95;7%;0.99;14,800;0.27;2.20;A-;4.33;2.60;$539,000;0.98;$1,376,000;0.98;$51,157;0.99;2.96;$52,362;0.82;0.77;$1,301,837;0.02;8%;0.72;0.74;Thrive
CaliforniaState University-Fresno;21,444;CA;211;0.18;58%;0.63;8,100;0.15;0.96;B+;4.00;2.40;$316,000;0.69;$751,000;0.47;$4,211;0.01;1.17;$12,527;0.02;4.72;$7,068;0.95;1%;0.14;1.09;Survive
Campbell University;5,457;NC;272;0.04;76%;0.24;49,500;0.68;0.96;B-;3.33;2.00;$237,000;0.20;$684,000;0.25;$8,801;0.49;0.94;$32,500;0.42;0.16;$27,385;0.72;2%;0.31;1.03;Perish
